 ,Image Link,Design Name, ,SKU Code,,Size,UOM,QTY,CP,remarks,CP/QTY,Total CP,SP,Margin,New SKU Name,,Type,,Finish,Color,,Length,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Hardware,,Black Mesh Net,,,1,,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Lighting,,LED Par can Warm white,,,4,,,,,,,,Lighting,NA,LED,Standard Output,Warm White,Floor Mounted (base / stand),No Effect,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Hardware,,Cello Tape 4inch,,,1,,,,,,,,Hardware,Adhesive,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Hardware,HW0022,broom stick,,,5,,,,,,,,Hardware,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Hardware,,Tool kit,,,1,,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Platform,,Triple Step,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Fabric,,Crepe High Quality,3 colour,,102,,,,,,,,Fabric,crepe,High quality,plain,peach,multi-use,102,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Fabric,,Lycra,,,30,,,,,,,,Fabric,lycra,High quality,plain,red,multi-use,30,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Structures,,Tradional Pillars Set of 4,,,4,,,,,,,,Structures,Pillars,Custom Size,NA,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,Vivaha vista,Structures,,Rectangular Pole column (8-16) feet,,,4,,,,,,,,Structures,Pole Column,Custom Size,Rectangle,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Structures,,Frame 10x4 ,,,12,,,,,,,,Structures,Frame,Custom Size,NA,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Structures,,pole base 10ft,,,5,,,,,,,,Structures,Pole base,10 Feet,base,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Structures,,Frame 8x4 cross grid,,,2,,,,,,,,Structures,Frame,8 × 4 Feet,NA,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Furniture,,mandap chair,,,3,,,,,,,,Furniture,chair,NA,NA,1 seater,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Props&Accessorie,,Lantern Cane Basket ,,,4,,,,,,,,Props & accessories,Basket / Tokri,Cane,NA,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Props&Accessorie,,Embossed Long Flower Vase - 2H Feet,,,4,,,,,,,,Props & accessories,Vase,NA,NA,2 feet,,,,
