 ,Image Link,Design Name, ,SKU Code,,Size,UOM,QTY,CP,remarks,CP/QTY,Total CP,SP,Margin,New SKU Name,,Type,,Finish,Color,,Length,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Fabric,FB0001,Crepe High Quality,,Meters,32,25,,,,,,,Fabric,crepe,High quality,plain,white,multi-use,32,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0004,Milky White Rose (Real),,Lot,12,200,,,,,,,Flowers,Real,Rose,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0006,Red Rose (Real),,Lot,8,200,,,,,,,Flowers,Real,Rose,Red,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0007,Coral Peach Rose (Real),,Lot,6,200,,,,,,,Flowers,Real,Rose,Peach,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0008,Light Pink Rose (Real),,Lot,8,200,,,,,,,Flowers,Real,Rose,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0011,Baby Pink Rose (Real),,Lot,5,200,,,,,,,Flowers,Real,Rose,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0012,Milky White Carnation (Real),,Lot,8,120,,,,,,,Flowers,Real,carnation,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0001,Kamini (Real),,Lot,18,20,,,,,,,Flowers,Real,Kamini,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0003,White Baby's Breath (Real),,Lot,8,200,,,,,,,Flowers,Real,baby's breath,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Real flowers,RF0026,Palm (Real),,Lot,5,40,,,,,,,Flowers,Real,Palm,green,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Artificial Flowers,AF0062,White Cherry Blossom,,Bunch,10,95,,,,,,,Flowers,Artificial,Cherry blossom,White,Bunch,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Artificial Flowers,AF0020,Orange Rose,,Pc,120,6,,,,,,,Flowers,Artificial,Rose,Orange,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0017,Binding Wire,,Kg,4,80,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0018,Fish Wire,,Kg,2,60,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0009,Oasis Brick,,pc,70,20,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0021,Tool kit,,pc,1,59,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0019,GI Wie,,Kg,2,220,,,,,,,Hardware,Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0001,Black Mesh Net,,Sqft,10,400,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,HW0022,broom stick,,pc,20,59,,,,,,,Hardware,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Hardware,,Ball Pins - (Packet of 100),,#N/A,2,#N/A,,,,,,,Hardware,Ball Pin,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Structures,ST0060,Labour,,per person,,1500,,,,,,,Structures,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/50AEC282-7887-4E39-8751-2522A95C0C51.jpeg,,Structures,ST0061,Transportation,,fix for 10km,,5000,,,,,,,Structures,,,,,,,,
,,,,,,,#N/A,,#N/A,,,,,,,,,,,,,,,
38,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Platform,PF0009,Platform 1 feet height,16 x16,Sqft,1,25,,,,,,,Platform,16*16 feet,NA,flex,skirting,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Platform,PF0020,flex skirting,16 x 16,Sqft,1,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Platform,PF0001,White Flex,16x16,Sqft,,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Structures,ST0104,pole base 12ft,,pc,4,600,,,,,,,Structures,Pole base,12 Feet,base,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Structures,ST0084,12-16 ft pole column extension,,pc,4,1200,,,,,,,Structures,Pole Column,Custom Size,extension,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Fabric,FB0001,Crepe High Quality,white,Meters,30,25,,,,,,,Fabric,crepe,High quality,plain,white,multi-use,30,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Fabric,FB0001,Crepe High Quality,biege,Meters,64,25,,,,,,,Fabric,crepe,High quality,plain,Beige,multi-use,64,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Furniture,FU0038,Mandap Chair- 1 seater,,pc,2,1000,,,,,,,Furniture,mandap chair (Mane),Antique,NA,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Props&Accessorie,PA0007,Fabric Tassels - 4H Inches,,pc,40,30,,,,,,,Props & accessories,Tassel,Fabric,pink,4 inches,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Artificial Flowers,AF0062,White Cherry Blossom,,Bunch,20,95,,,,,,,Flowers,Artificial,Cherry blossom,White,Bunch,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Artificial Flowers,AF0081,White Hydrangea,,Pcs,60,30,,,,,,,Flowers,Artificial,Hydrangea,White,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Artificial Flowers,AF0069,White Peony,,Pcs,48,16,,,,,,,Flowers,Artificial,Peony,White,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Real flowers,RF0028,White Rose (Real),,Lot,5,200,,,,,,,Flowers,Real,Rose,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Real flowers,RF0039,Red Carnation (Real),,Lot,3,120,,,,,,,Flowers,Real,carnation,Red,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Real flowers,RF0006,Red Rose (Real),,Lot,5,200,,,,,,,Flowers,Real,Rose,Red,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Real flowers,RF0001,Kamini (Real),,Lot,48,20,,,,,,,Flowers,Real,Kamini,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Real flowers,RF0003,White Baby's Breath (Real),,Lot,20,200,,,,,,,Flowers,Real,baby's breath,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0017,Binding Wire,,Kg,4,80,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0018,Fish Wire,,Kg,2,60,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0009,Oasis Brick,,pc,50,20,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0021,Tool kit,,pc,1,59,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0019,GI Wie,,Kg,2,220,,,,,,,Hardware,Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0001,Black Mesh Net,,Sqft,5,400,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,HW0022,broom stick,,pc,10,59,,,,,,,Hardware,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Hardware,,Ball Pins - (Packet of 100),,#N/A,5,#N/A,,,,,,,Hardware,Ball Pin,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Structures,ST0060,Labour,,per person,,1500,,,,,,,Structures,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/FE496876-48CA-44D9-AB39-7FDE25FBB601.jpeg,,Structures,ST0061,Transportation,,fix for 10km,,5000,,,,,,,Structures,,,,,,,,
,,,,,,,#N/A,,#N/A,,,,,,,,,,,,,,,
39,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Platform,PF0009,Platform 1 feet height,12x 12,Sqft,1,25,,,,,,,Platform,12*12 feet,NA,flex,skirting,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Platform,PF0020,flex skirting,12 x12,Sqft,1,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Platform,PF0001,White Flex,12x12,Sqft,1,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Structures,ST0085,8-12 ft pole column extension,,pc,4,800,,,,,,,Structures,Pole Column,Custom Size,extension,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Structures,ST0038,pole base 8ft,,pc,4,600,,,,,,,Structures,Pole base,8 Feet,base,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Fabric,FB0001,Crepe High Quality,,Meters,80,25,,,,,,,Fabric,crepe,High quality,plain,white,multi-use,80,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Furniture,FU0029,Golden Chivary Chair,,pc,2,80,,,,,,,Furniture,chair,Chivary,NA,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Furniture,FU0038,Mandap Chair- 1 seater,,pc,2,1000,,,,,,,Furniture,chair,NA,NA,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Props&Accessorie,PA0114,Havan Kund,,pc,1,700,,,,,,,Props & accessories,Havan kund,Metal (generic),natural,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Artificial Flowers,AF0080,White Rose,,Pc,40,6,,,,,,,Flowers,Artificial,Rose,White,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Artificial Flowers,AF0069,White Peony,,Pcs,30,16,,,,,,,Flowers,Artificial,Peony,White,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Artificial Flowers,AF0081,White Hydrangea,,Pcs,30,30,,,,,,,Flowers,Artificial,Hydrangea,White,piece,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0028,White Rose (Real),,Lot,5,200,,,,,,,Flowers,Real,Rose,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0011,Baby Pink Rose (Real),,Lot,3,200,,,,,,,Flowers,Real,Rose,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0024,Foliage Golden Rod (Real),,Lot,5,45,,,,,,,Flowers,Real,Rod,Gold,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0001,Kamini (Real),,Lot,22,20,,,,,,,Flowers,Real,Kamini,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0002,Asparagus Ferns,,Lot,16,20,,,,,,,Flowers,Real,Fern,green,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Real flowers,RF0003,White Baby's Breath (Real),,Lot,10,200,,,,,,,Flowers,Real,baby's breath,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0017,Binding Wire,,Kg,4,80,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0018,Fish Wire,,Kg,2,60,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0009,Oasis Brick,,pc,28,20,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0021,Tool kit,,pc,1,59,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0019,GI Wie,,Kg,2,220,,,,,,,Hardware,Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0001,Black Mesh Net,,Sqft,5,400,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,HW0022,broom stick,,pc,6,59,,,,,,,Hardware,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Hardware,,Ball Pins - (Packet of 100),,#N/A,2,#N/A,,,,,,,Hardware,Ball Pin,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Structures,ST0060,Labour,,per person,,1500,,,,,,,Structures,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/578B0F0C-7174-4005-9229-C98B8D8D66D2.jpeg,,Structures,ST0061,Transportation,,fix for 10km,,5000,,,,,,,Structures,,,,,,,,
,,,,,,,#N/A,,#N/A,,,,,,,,,,,,,,,
40,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Platform,PF0009,Platform 1 feet height,12x 12,Sqft,1,25,,,,,,,Platform,12*12 feet,NA,flex,skirting,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Platform,PF0020,flex skirting,12 x12,Sqft,1,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Platform,PF0001,White Flex,12x12,Sqft,1,10,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Structures,ST0038,pole base 8ft,,pc,2,600,,,,,,,Structures,Pole base,8 Feet,base,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Structures,ST0085,8-12 ft pole column extension,,pc,1,800,,,,,,,Structures,Pole Column,Custom Size,extension,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Furniture,FU0025,Wooden Side Table,,pc,2,500,,,,,,,Furniture,side Table,vintage,wood,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Props&Accessorie,PA0116,Flower Cane Basket Hanging,,pc,10,400,,,,,,,Props & accessories,Basket / Tokri,Cane,brown,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Props&Accessorie,PA0221,Brass Bucket,,pc,4,450,,,,,,,Props & accessories,Bucket,Brass,natural,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Props&Accessorie,PA0245,Glass Jar,,pc,2,600,,,,,,,Props & accessories,Jar,Glass,white,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Furniture,FU0016,Deewan with Gadda,,pc,1,1000,,,,,,,Furniture,deewan,plain,NA,2 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Furniture,FU0014,Bolster - 1 Pair,,pc,2,200,,,,,,,Furniture,bolster,plain,NA,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Real flowers,RF0023,Pink Carnation (Real),,Lot,8,120,,,,,,,Flowers,Real,carnation,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Real flowers,RF0008,Light Pink Rose (Real),,Lot,5,200,,,,,,,Flowers,Real,Rose,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Real flowers,RF0001,Kamini (Real),,Lot,25,20,,,,,,,Flowers,Real,Kamini,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Real flowers,RF0003,White Baby's Breath (Real),,Lot,15,200,,,,,,,Flowers,Real,baby's breath,White,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Real flowers,RF0011,Baby Pink Rose (Real),,Lot,6,200,,,,,,,Flowers,Real,Rose,Pink,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0017,Binding Wire,,Kg,2,80,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0018,Fish Wire,,Kg,1,60,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0009,Oasis Brick,,pc,25,20,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0021,Tool kit,,pc,1,59,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0019,GI Wie,,Kg,2,220,,,,,,,Hardware,Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0001,Black Mesh Net,,Sqft,3,400,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Hardware,HW0022,broom stick,,pc,5,59,,,,,,,Hardware,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Structures,ST0060,Labour,,per person,,1500,,,,,,,Structures,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/4C71889A-AB11-431A-A1E7-A9CB8B4BD2A0.jpeg,,Structures,ST0061,Transportation,,fix for 10km,,5000,,,,,,,Structures,,,,,,,,
,,,,,,,#N/A,,#N/A,,,,,,,,,,,,,,,
41,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/1ED27417-CDE7-449C-880E-13C78B426DC9.jpeg,,Platform,PF0010,Platform 2 feet height,12x12 ,Sqft,1,25,,,,,,,Platform,12*12 feet,step,NA,skirting,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/1ED27417-CDE7-449C-880E-13C78B426DC9.jpeg,,Platform,PF0020,flex skirting,12 x12,Sqft,1,10,,,,,,,,,,,,,,,
